Experiment_ID,Catalyst,Dosage_g_L,Light_Source,pH,Time_min,Degradation_Efficiency
EXP_001,TiO2/GO,0.81,Solar,4.3,120,99.9
EXP_002,TiO2,1.37,Visible,3.6,150,99.9
EXP_003,TiO2/GO,0.45,UV,8.1,120,99.9
EXP_004,TiO2/GO,0.67,Visible,3.2,150,99.9
EXP_005,TiO2,1.16,Solar,7.7,150,99.9
EXP_006,TiO2,0.42,Visible,10.5,90,68.71
EXP_007,TiO2/GO,0.21,Visible,7.6,150,99.9
EXP_008,ZnO,0.51,Solar,6.1,60,92.15
EXP_009,TiO2/GO,0.33,Visible,8.1,90,99.9
EXP_010,TiO2/GO,1.4,Visible,6.7,150,99.9
EXP_011,TiO2/GO,1.23,Solar,7.4,30,85.87
EXP_012,TiO2/GO,0.99,Visible,10.5,60,84.11
EXP_013,TiO2,1.32,Solar,6.1,60,98.26
EXP_014,TiO2/GO,1.23,Visible,10.7,60,82.2
EXP_015,ZnO,0.36,Solar,10.2,90,150.5
EXP_016,TiO2,1.35,Solar,4.6,150,99.9
EXP_017,ZnO,0.86,Visible,3.6,150,96.82
EXP_018,ZnO,1.23,Visible,3.8,30,50.62
EXP_019,ZnO,1.35,Visible,3.1,30,41.12
EXP_020,ZnO,0.55,UV,3.8,60,74.39
EXP_021,TiO2,0.25,UV,8.5,30,63.67
EXP_022,TiO2,0.42,UV,3.6,90,89.82
EXP_023,ZnO,0.7,Solar,5.6,150,99.9
EXP_024,ZnO,1.25,Visible,9.8,60,65.31
EXP_025,TiO2,1.31,Solar,3.2,30,61.56
EXP_026,TiO2,0.11,UV,9.5,90,89.36
EXP_027,TiO2,0.82,Visible,5.3,90,93.49
EXP_028,TiO2/GO,0.68,Solar,3.9,30,77.12
EXP_029,TiO2/GO,0.41,Visible,8.6,150,99.9
EXP_030,TiO2/GO,0.27,Solar,8.0,30,78.96
EXP_031,ZnO,0.57,Visible,10.0,60,61.7
EXP_032,TiO2/GO,1.42,UV,8.9,30,70.67
EXP_033,ZnO,0.55,UV,9.4,90,89.12
EXP_034,ZnO,0.83,Visible,5.3,30,57.17
EXP_035,TiO2/GO,1.08,Solar,4.4,150,99.9
EXP_036,ZnO,0.61,UV,9.0,120,99.9
EXP_037,TiO2/GO,1.46,UV,9.5,30,62.58
EXP_038,TiO2/GO,1.45,UV,10.9,150,99.9
EXP_039,TiO2,0.45,Visible,6.3,150,99.9
EXP_040,TiO2/GO,0.8,Visible,6.0,90,99.9
EXP_041,TiO2,0.52,Solar,9.2,150,99.9
EXP_042,TiO2/GO,0.5,Solar,5.7,150,99.9
EXP_043,TiO2/GO,0.15,Solar,10.4,150,99.9
EXP_044,TiO2,0.95,Visible,9.9,150,99.9
EXP_045,TiO2,0.8,Visible,6.4,60,85.33
EXP_046,TiO2/GO,0.17,Solar,9.0,60,77.87
EXP_047,ZnO,0.49,Solar,9.0,90,85.96
EXP_048,TiO2,1.37,Visible,3.8,30,44.47
EXP_049,ZnO,0.44,Solar,10.2,150,99.9
EXP_050,ZnO,0.3,UV,7.0,30,150.5
EXP_051,ZnO,0.79,Visible,9.6,30,59.5
EXP_052,TiO2,1.48,Solar,5.6,90,81.0
EXP_053,ZnO,0.44,Visible,10.2,150,99.9
EXP_054,TiO2,1.04,UV,6.1,150,99.9
EXP_055,ZnO,1.17,Visible,3.1,120,79.18
EXP_056,TiO2/GO,0.43,Visible,10.2,30,69.24
EXP_057,TiO2/GO,1.12,Visible,3.7,30,64.59
EXP_058,TiO2,0.61,Visible,5.6,60,83.79
EXP_059,TiO2/GO,0.99,UV,10.6,120,99.9
EXP_060,TiO2/GO,0.99,Visible,10.6,60,73.53
EXP_061,ZnO,0.85,Visible,7.6,60,68.34
EXP_062,TiO2,0.23,Solar,8.1,60,76.12
EXP_063,ZnO,1.27,Visible,6.6,90,83.44
EXP_064,ZnO,0.55,Solar,5.3,90,91.1
EXP_065,ZnO,0.36,UV,5.6,60,87.83
EXP_066,ZnO,0.16,UV,8.4,120,86.09
EXP_067,ZnO,0.93,UV,9.0,30,70.99
EXP_068,ZnO,1.05,UV,9.3,120,99.44
EXP_069,ZnO,0.12,Solar,9.3,150,93.24
EXP_070,TiO2,0.82,Visible,3.7,90,86.22
EXP_071,TiO2/GO,0.42,UV,7.0,30,86.42
EXP_072,ZnO,1.0,Visible,3.5,30,53.48
EXP_073,ZnO,0.34,Solar,7.4,150,99.9
EXP_074,ZnO,1.07,Solar,6.5,150,99.9
EXP_075,ZnO,0.64,Solar,10.1,60,82.15
EXP_076,ZnO,1.41,UV,5.8,90,84.49
EXP_077,ZnO,0.29,Visible,3.9,90,73.25
EXP_078,TiO2/GO,0.58,Visible,4.1,120,99.9
EXP_079,TiO2/GO,0.26,Visible,9.1,60,59.98
EXP_080,ZnO,1.39,Solar,7.9,60,67.17
